City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Luang Prabang,0,LA,1576121427,72,19.89,102.14,288.15,1.0
Lompoc,75,US,1576121363,93,34.64,-120.46,288.15,3.1
Kamaishi,75,JP,1576121427,86,39.28,141.86,276.15,4.1
Qaanaaq,0,GL,1576121428,50,77.48,-69.36,253.53,4.39
Sao Filipe,95,CV,1576121428,63,14.9,-24.5,296.64,7.64
Busselton,0,AU,1576121428,17,-33.64,115.35,307.59,1.6
Lerwick,98,GB,1576121428,86,60.15,-1.15,277.15,12.9
Rikitea,100,PF,1576121428,82,-23.12,-134.97,296.21,11.79
Albany,20,US,1576121273,46,42.65,-73.75,272.04,6.2
Deputatskiy,69,RU,1576121428,94,69.3,139.9,241.03,1.33
Hermanus,2,ZA,1576121428,81,-34.42,19.24,292.59,5.36
Hudiksvall,100,SE,1576121428,98,61.73,17.1,273.15,3.94
Ilulissat,0,GL,1576121428,50,69.22,-51.1,258.15,4.6
Vaini,0,IN,1576121198,72,15.34,74.49,294.15,1.5
Caravelas,1,BR,1576121236,94,-17.73,-39.27,295.04,2.92
New Norfolk,40,AU,1576121429,47,-42.78,147.06,288.71,9.3
Flinders,40,AU,1576121200,49,-34.58,150.85,297.04,5.7
Barrow,17,AR,1576121196,76,-38.31,-60.23,289.47,2.73
Hamilton,20,CA,1576121238,61,43.26,-79.87,267.15,5.1
Ponta do Sol,100,BR,1576121235,95,-20.63,-46.0,292.78,0.65
Eenhana,32,NA,1576121429,43,-17.48,16.34,294.15,3.1
Leningradskiy,48,RU,1576121429,92,69.38,178.42,266.54,5.24
Kavieng,89,PG,1576121429,67,-2.57,150.8,303.01,3.91
Narsaq,100,GL,1576121429,29,60.91,-46.05,275.15,9.3
Kodiak,1,US,1576121198,68,39.95,-94.76,275.93,4.1
Bluff,0,AU,1576121429,25,-23.58,149.07,308.53,1.85
Diamantino,100,BR,1576121430,92,-14.4,-56.44,295.98,1.45
Yellowknife,20,CA,1576121430,73,62.45,-114.38,243.71,1.0
Fortuna,90,US,1576121430,87,40.6,-124.16,287.59,9.3
Ushuaia,75,AR,1576121430,81,-54.81,-68.31,280.15,11.8
San Patricio,0,PY,1576121241,49,-26.98,-56.83,298.81,2.07
Cabo San Lucas,20,MX,1576121430,77,22.89,-109.91,293.71,3.1
Butaritari,0,KI,1576121201,75,3.07,172.79,302.4,6.27
San Cristobal,32,HN,1576121431,93,14.68,-86.92,290.56,1.0
Anchorage,40,US,1576121241,80,61.22,-149.89,275.93,3.1
Rumoi,90,JP,1576121431,80,43.93,141.67,274.15,6.7
Punta Arenas,75,CL,1576121431,70,-53.16,-70.91,281.15,8.2
Airai,59,TL,1576121431,35,-8.93,125.41,303.5,3.23
San Quintin,0,PH,1576121431,58,17.54,120.52,301.86,4.01
Sable-sur-Sarthe,72,FR,1576121432,89,47.84,-0.33,275.15,2.1
Saint George,75,GR,1576121400,93,39.45,22.34,281.15,1.25
Chuy,0,UY,1576121432,66,-33.69,-53.46,295.52,4.77
Axim,100,GH,1576121199,93,4.87,-2.24,297.59,0.67
Port Alfred,82,ZA,1576121432,98,-33.59,26.89,289.82,0.89
Tuktoyaktuk,5,CA,1576121432,69,69.44,-133.03,248.15,7.7
Ostrovnoy,100,RU,1576121432,88,68.05,39.51,270.56,10.4
Carnarvon,0,ZA,1576121432,49,-30.97,22.13,289.79,4.45
Pasni,0,PK,1576121432,61,25.26,63.48,292.43,1.18
Hobart,40,AU,1576121432,47,-42.88,147.33,288.71,9.3
Yulara,82,AU,1576121433,18,-25.24,130.99,304.15,10.8
Port Lincoln,20,AU,1576121433,56,-34.72,135.86,291.38,5.37
Mar del Plata,100,AR,1576121433,50,-46.43,-67.52,285.24,10.04
Bredasdorp,74,ZA,1576121433,72,-34.53,20.04,293.15,5.7
Adjumani,0,UG,1576121433,88,3.38,31.79,294.42,1.47
Thinadhoo,97,MV,1576121433,73,0.53,72.93,301.09,3.62
Aquiraz,20,BR,1576121433,78,-3.9,-38.39,300.37,3.1
Aswan,0,EG,1576121433,30,24.09,32.9,288.15,8.7
Isiolo,12,KE,1576121201,84,0.35,37.58,292.2,0.94
Smidovich,0,RU,1576121433,82,48.6,133.81,254.48,4.2
Kahului,40,US,1576121433,62,20.89,-156.47,302.15,4.6
Luderitz,0,NA,1576121434,87,-26.65,15.16,289.15,0.5
Cape Town,0,ZA,1576121248,88,-33.93,18.42,291.48,1.0
Port Elizabeth,1,US,1576121201,69,39.31,-74.98,275.37,4.1
Ixtapa,75,MX,1576121434,83,20.71,-105.21,296.48,2.48
Lebu,20,ET,1576121240,87,8.96,38.73,284.15,1.0
Awjilah,0,LY,1576121434,67,29.14,21.3,284.65,8.74
Raudeberg,75,NO,1576121434,81,61.99,5.14,279.15,19.0
Mataura,100,NZ,1576121197,50,-46.19,168.86,297.34,1.51
Longyearbyen,75,NO,1576121434,61,78.22,15.63,264.15,14.4
Blackwater,32,GB,1576121434,90,51.33,-0.78,276.15,3.1
Estevan,90,CA,1576121434,84,49.14,-102.99,257.15,6.2
Zhanaozen,0,KZ,1576121434,72,43.35,52.85,272.78,3.51
Nanortalik,100,GL,1576121235,94,60.14,-45.24,272.5,6.38
Upata,100,VE,1576121435,98,8.02,-62.41,293.66,1.3
Hofn,100,IS,1576121435,59,64.25,-15.21,274.22,12.81
Samana,43,EC,1576121435,92,0.12,-76.97,295.68,1.13
Upernavik,0,GL,1576121435,61,72.79,-56.15,256.23,2.71
Dovhe,100,UA,1576121435,96,51.33,26.46,274.8,5.81
Saskylakh,46,RU,1576121435,95,71.97,114.09,240.52,2.95
Kapaa,75,US,1576121436,65,22.08,-159.32,301.15,1.5
Atar,100,MR,1576121436,17,20.52,-13.05,291.55,6.02
Bilma,67,NE,1576121436,29,18.69,12.92,287.38,8.59
Mandalgovi,0,MN,1576121436,53,45.76,106.27,267.27,7.25
Saint-Philippe,1,CA,1576121436,53,45.36,-73.48,267.15,10.3
Xiongzhou,32,CN,1576121436,40,32.34,118.83,285.93,5.0
Mount Isa,0,AU,1576121436,10,-20.73,139.49,315.15,4.6
Port Macquarie,90,AU,1576121436,64,-31.43,152.91,298.71,6.7
Tiksi,2,RU,1576121436,88,71.64,128.87,239.69,2.19
Aykhal,51,RU,1576121436,75,65.95,111.51,247.15,1.0
Zatoka,0,PL,1576121436,92,50.04,20.52,268.71,2.1
Muros,90,ES,1576121437,100,42.77,-9.06,288.71,3.6
Comodoro Rivadavia,100,AR,1576121437,54,-45.87,-67.48,285.15,5.1
Ichnya,96,UA,1576121437,98,50.86,32.39,274.92,3.31
Arraial do Cabo,100,BR,1576121437,92,-22.97,-42.02,296.66,5.85
Hokitika,33,NZ,1576121437,75,-42.72,170.96,289.75,2.39
Saldanha,99,PT,1576121218,93,41.42,-6.55,278.35,4.93
Volot,89,RU,1576121437,92,57.93,30.71,271.52,3.68
Praya,75,ID,1576121438,56,-8.71,116.27,307.15,2.1
Wicklow,75,IE,1576121438,93,53.0,-6.42,277.59,4.6
Bam,0,IR,1576121438,32,29.11,58.36,284.19,4.36
Mackay,90,CA,1576121438,92,53.65,-115.58,262.15,3.1
Melipilla,0,CL,1576121438,93,-33.69,-71.21,295.15,0.5
Hithadhoo,100,MV,1576121438,71,-0.6,73.08,301.04,2.04
Kushima,20,JP,1576121438,47,31.5,131.29,288.15,8.7
Saint-Georges,66,CA,1576121438,71,46.12,-70.67,267.59,4.47
İdil,0,TR,1576121438,75,37.34,41.89,276.56,1.12
Codrington,40,AU,1576121438,51,-28.95,153.24,305.15,6.2
Ystad,90,SE,1576121439,100,55.43,13.82,277.04,2.1
Ouro Preto do Oeste,84,BR,1576121439,95,-10.75,-62.22,296.07,0.93
